customer_id,age,gender,region,city_tier,employment_status,employment_length_years,annual_income,credit_score,housing_status,marital_status,existing_debts_count,loan_id,loan_type,loan_amount,interest_rate,loan_term_months,disbursement_date,collateral_type,collateral_value,loan_purpose,origination_channel,vintage_year,vintage_quarter,repayment_id,total_installments_due,installments_paid,total_amount_paid,principal_paid,interest_paid,last_payment_date,overdue_days,delinquency_bucket,default_flag,default_date,outstanding_principal,recovery_id,recovery_status,primary_channel,recovery_officer_id,officer_name,officer_designation,contact_attempts,promise_to_pay_kept,settlement_discount_pct,recovered_amount,recovery_cost,recovery_date,monthly_emi,dti_ratio,is_secured,ltv_ratio,credit_risk_tier,delinquency_severity_score,net_recovery_amount,recovery_rate_pct,recovery_target_binary
CUST-100000,41,Male,South,Tier 1,Salaried - Public Sector,8,21459.09,724,Owned,Married,1,LN-200000,Auto Loan,15444.39,8.5,48,2021-09-13,Vehicle,16755.38,New Car,Digital Portal,2021,2021Q3,REP-300000,39,39,14846.44,10385.76,4460.68,2024-11-26,0,Current,0,,5058.629999999999,,No Delinquency / Not Applicable,None,None,None,None,0,0,0.0,0.0,0.0,,380.68,0.2129,1,0.9218,Prime (700-749),5.93,0.0,0.0,
CUST-100001,35,Male,South,Tier 1,Contractual,3,18519.11,612,Mortgaged,Divorced,1,LN-200001,Auto Loan,13673.58,8.77,72,2021-05-18,Vehicle,14465.9,New Car,Mobile App,2021,2021Q2,REP-300001,43,42,10286.46,7097.44,3189.02,2024-10-29,7,1-30 DPD (SMA-0),0,,6576.14,,No Delinquency / Not Applicable,None,None,None,None,0,0,0.0,0.0,0.0,,244.92,0.1587,1,0.9452,Subprime (550-649),12.37,0.0,0.0,
CUST-100002,43,Female,West,Tier 1,Self-Employed Professional,10,65457.61,616,Rented,Married,2,LN-200002,Auto Loan,33338.8,8.46,48,2022-04-14,Vehicle,40973.55,Commercial Vehicle,Digital Portal,2022,2022Q2,REP-300002,32,31,25454.58,19137.05,6317.53,2024-10-30,19,1-30 DPD (SMA-0),0,,14201.750000000004,,No Delinquency / Not Applicable,None,None,None,None,0,0,0.0,0.0,0.0,,821.12,0.1505,1,0.8137,Subprime (550-649),14.18,0.0,0.0,
CUST-100003,52,Male,Central,Tier 3,Contractual,0,25160.19,554,Rented,Single,4,LN-200003,Personal Loan,9943.9,19.74,12,2023-01-18,,0.0,Debt Consolidation,Mobile App,2023,2023Q1,REP-300003,12,5,4599.56,3521.56,1078.0,2023-06-17,327,90+ DPD (NPA / Default),1,2023-09-15,6422.34,REC-400001,Legal Escalation,Legal Notice & DRT,OFF-107,David Kim,Corporate Debt Recovery Executive,17,0,0.0,0.0,894.5,,919.91,0.4387,1,1.5,Subprime (550-649),68.43,-894.5,0.0,0.0
CUST-100004,34,Female,West,Tier 2,Salaried - Public Sector,2,116246.58,619,Rented,Married,2,LN-200004,Auto Loan,35415.03,9.01,60,2022-04-29,Vehicle,38090.73,Used Car,Branch Network,2022,2022Q2,REP-300004,32,32,23530.55,18656.03,4874.52,2024-12-14,0,Current,0,,16759.0,,No Delinquency / Not Applicable,None,None,None,None,0,0,0.0,0.0,0.0,,735.33,0.0759,1,0.9298,Subprime (550-649),10.87,0.0,0.0,
CUST-100005,34,Male,West,Tier 2,Salaried - Corporate,1,40273.63,636,Rented,Married,1,LN-200005,Business Loan,54560.55,14.49,24,2022-09-04,,0.0,Equipment Purchase,Digital Portal,2022,2022Q3,REP-300005,24,22,57909.65,42216.82,15692.83,2024-06-25,35,31-60 DPD (SMA-1),0,,12343.730000000003,REC-400002,Fully Recovered,AI Voice Bot & SMS,OFF-106,Priya Patel,Early Stage Collections Specialist,4,1,14.94,10499.58,49.0,2024-10-15,2632.26,0.7843,1,1.5,Subprime (550-649),15.9,10450.58,85.06,1.0
CUST-100006,52,Male,West,Tier 3,Self-Employed Professional,0,33519.07,693,Rented,Married,2,LN-200006,Auto Loan,15499.66,7.92,60,2023-06-23,Vehicle,19488.51,Commercial Vehicle,Tele-Sales,2023,2023Q2,REP-300006,18,18,5646.31,3853.38,1792.93,2024-12-14,0,Current,0,,11646.279999999999,,No Delinquency / Not Applicable,None,None,None,None,0,0,0.0,0.0,0.0,,313.68,0.1123,1,0.7953,Near-Prime (650-699),7.39,0.0,0.0,
CUST-100007,44,Male,South,Tier 1,Salaried - Corporate,18,83362.45,752,Owned,Married,3,LN-200007,Personal Loan,16380.5,13.2,12,2021-04-02,,0.0,Medical Emergency,Branch Network,2021,2021Q2,REP-300007,12,12,17575.19,13109.38,4465.81,2022-03-28,0,Current,0,,3271.120000000001,,No Delinquency / Not Applicable,None,None,None,None,0,0,0.0,0.0,0.0,,1464.6,0.2108,1,1.5,Super-Prime (750+),4.61,0.0,0.0,
CUST-100008,32,Male,West,Tier 1,Salaried - Corporate,7,78682.64,695,Mortgaged,Married,4,LN-200008,Personal Loan,31603.53,21.19,24,2022-03-27,,0.0,Medical Emergency,Branch Network,2022,2022Q1,REP-300008,24,23,37419.13,28272.34,9146.79,2024-02-15,30,1-30 DPD (SMA-0),0,,3331.1899999999987,,No Delinquency / Not Applicable,None,None,None,None,0,0,0.0,0.0,0.0,,1626.92,0.2481,1,1.5,Near-Prime (650-699),12.29,0.0,0.0,
CUST-100009,42,Female,West,Tier 2,Salaried - Public Sector,2,54299.84,652,Rented,Single,0,LN-200009,Personal Loan,17433.33,20.48,24,2022-01-20,,0.0,Wedding/Travel,Branch Network,2022,2022Q1,REP-300009,24,5,4456.88,3387.74,1069.14,2022-06-19,294,90+ DPD (NPA / Default),1,2022-09-17,14045.590000000002,REC-400003,In Progress,External Recovery Agency,OFF-104,Sarah Jenkins,Legal & Settlements Officer,18,0,0.0,0.0,253.0,,891.38,0.197,1,1.5,Near-Prime (650-699),58.32,-253.0,0.0,0.0
